Source,Target,Weight
Computer Weekly,Rebecca Thompson,1
Computer Weekly,"The Grocer,",1
BIS,Business Innovation,1
BIS,Skills,1
BIS,James Arbuthnot,1
Business Innovation,Skills,1
BUR,DTI,1
BUR,the Select Committee,1
DTI,the Select Committee,1
Davey,Channel 4,1
audit,Alice,1
audit,Ron,1
audit,Vennells,1
audit,Second Sight,1
audit,CFO,1
audit,Global Head of Investigations,1
audit,Marine Drive,1
Channel 4,JFSA,1
Crown Office,Ed Davey,1
Crown Office,GLO,1
Crown Office,Jo Swinson,1
Crown Office,Norman Lamb,1
Crown Office,Pat McFadden,1
